Timestamp,Humidity,Temperature
2024-08-27 10:49:32,56.3,20.1
2024-08-27 10:49:34,56.1,20.0
2024-08-27 10:49:36,56.1,20.1
2024-08-27 10:49:38,56.1,20.1
2024-08-27 10:49:40,56.1,20.1
2024-08-27 10:49:42,56.2,20.0
2024-08-27 10:49:44,56.1,20.0
2024-08-27 10:49:46,56.0,20.0
2024-08-27 10:49:48,56.1,20.0
2024-08-27 10:49:50,56.0,20.1
2024-08-27 10:49:52,56.0,20.0
2024-08-27 10:49:54,56.1,20.0
2024-08-27 10:49:56,56.0,20.0
2024-08-27 10:49:58,56.1,20.0
2024-08-27 10:50:00,56.1,20.0
2024-08-27 10:50:02,56.0,20.0
2024-08-27 10:50:04,56.0,20.0
2024-08-27 10:50:06,56.0,20.0
2024-08-27 10:50:08,56.0,20.1
2024-08-27 10:50:10,56.0,20.0
2024-08-27 10:50:12,56.0,20.0
2024-08-27 10:50:14,55.9,20.0
2024-08-27 10:50:16,56.1,20.0
2024-08-27 10:50:18,56.1,20.0
2024-08-27 10:50:20,56.0,20.0
2024-08-27 10:50:22,55.9,20.0
2024-08-27 10:50:24,55.9,20.0
2024-08-27 10:50:26,55.9,20.0
2024-08-27 10:50:28,55.9,20.0
2024-08-27 10:50:30,55.9,20.0
2024-08-27 10:50:32,56.0,19.9
2024-08-27 10:50:34,55.9,20.0
2024-08-27 10:50:36,56.1,20.0
2024-08-27 10:50:38,56.0,19.9
2024-08-27 10:50:40,56.1,20.0
2024-08-27 10:50:42,56.0,19.9
2024-08-27 10:50:44,56.0,20.0
2024-08-27 10:50:46,55.9,20.0
2024-08-27 10:50:48,56.1,19.8
2024-08-27 10:50:50,56.0,19.9
2024-08-27 10:50:52,56.2,19.8
2024-08-27 10:50:54,56.0,19.9
2024-08-27 10:50:56,55.9,19.9
2024-08-27 10:50:58,56.0,19.9
2024-08-27 10:51:00,56.1,19.9
2024-08-27 10:51:02,56.1,19.9
2024-08-27 10:51:04,56.1,20.0
2024-08-27 10:51:06,56.0,19.9
2024-08-27 10:51:08,56.1,19.9
2024-08-27 10:51:10,56.0,19.9
2024-08-27 10:51:12,56.0,19.9
2024-08-27 10:51:14,56.1,19.9
2024-08-27 10:51:16,56.2,19.9
2024-08-27 10:51:18,56.2,19.9
2024-08-27 10:51:20,56.1,19.8
2024-08-27 10:51:22,56.2,19.9
2024-08-27 10:51:24,56.1,19.8
2024-08-27 10:51:26,56.2,19.8
2024-08-27 10:51:28,56.2,19.8
2024-08-27 10:51:30,56.0,19.8
2024-08-27 10:51:32,56.2,19.8
2024-08-27 10:51:34,56.4,19.8
2024-08-27 10:51:36,56.3,19.8
2024-08-27 10:51:38,56.2,19.9
2024-08-27 10:51:40,56.3,19.9
2024-08-27 10:51:42,56.2,19.9
2024-08-27 10:51:44,56.2,19.9
2024-08-27 10:51:46,56.2,19.8
2024-08-27 10:51:48,56.2,19.8
2024-08-27 10:51:50,56.3,19.8
2024-08-27 10:51:52,56.3,19.9
2024-08-27 10:51:54,56.2,19.8
2024-08-27 10:51:56,56.2,19.8
2024-08-27 10:51:58,56.3,19.8
2024-08-27 10:52:00,56.2,19.8
2024-08-27 10:52:02,56.3,19.8
2024-08-27 10:52:04,56.4,19.7
2024-08-27 10:52:06,56.3,19.8
2024-08-27 10:52:08,56.3,19.7
2024-08-27 10:52:10,56.4,19.8
2024-08-27 10:52:12,56.4,19.7
2024-08-27 10:52:14,56.4,19.8
